file,pipeline,base_design,trojan_type,variant,rewrite_rate,label,gates,trojan_gates,bytes
top1_trojan2_15_netlist.v,design_compiler,top1,2,15,,TROJANED,998,33,41753
top1_trojan2_16_netlist.v,design_compiler,top1,2,16,,TROJANED,1002,37,41985
top1_trojan2_17_netlist.v,design_compiler,top1,2,17,,TROJANED,1006,41,42221
top1_trojan2_18_netlist.v,design_compiler,top1,2,18,,TROJANED,1011,46,42493
top1_trojan2_19_netlist.v,design_compiler,top1,2,19,,TROJANED,1014,49,42695
top1_trojan2_1_netlist.v,design_compiler,top1,2,1,,TROJANED,990,25,41294
top1_trojan2_20_netlist.v,design_compiler,top1,2,20,,TROJANED,1019,54,42967
top1_trojan2_21_netlist.v,design_compiler,top1,2,21,,TROJANED,1022,57,43169
top1_trojan2_22_netlist.v,design_compiler,top1,2,22,,TROJANED,1014,49,42632
top1_trojan2_23_netlist.v,design_compiler,top1,2,23,,TROJANED,1038,73,43817
top1_trojan2_24_netlist.v,design_compiler,top1,2,24,,TROJANED,966,13,40146
top1_trojan2_2_netlist.v,design_compiler,top1,2,2,,TROJANED,966,13,40146
top1_trojan2_3_netlist.v,design_compiler,top1,2,3,,TROJANED,978,19,40718
top1_trojan2_4_netlist.v,design_compiler,top1,2,4,,TROJANED,996,31,41600
top1_trojan2_5_netlist.v,design_compiler,top1,2,5,,TROJANED,1002,37,41913
top1_trojan2_6_netlist.v,design_compiler,top1,2,6,,TROJANED,1008,43,42233
top1_trojan2_7_netlist.v,design_compiler,top1,2,7,,TROJANED,1014,49,42632
top1_trojan2_8_netlist.v,design_compiler,top1,2,8,,TROJANED,1020,55,42869
top1_trojan2_9_netlist.v,design_compiler,top1,2,9,,TROJANED,1026,61,43185
top1_trojan3_0_netlist.v,design_compiler,top1,3,0,,TROJANED,737,102,31626
top1_trojan3_10_netlist.v,design_compiler,top1,3,10,,TROJANED,791,156,34358
top1_trojan3_11_netlist.v,design_compiler,top1,3,11,,TROJANED,799,164,34770
top1_trojan3_12_netlist.v,design_compiler,top1,3,12,,TROJANED,807,172,35182
top1_trojan3_13_netlist.v,design_compiler,top1,3,13,,TROJANED,668,65,28659
top1_trojan3_14_netlist.v,design_compiler,top1,3,14,,TROJANED,699,86,29936
top1_trojan3_15_netlist.v,design_compiler,top1,3,15,,TROJANED,715,92,30526
top1_trojan3_16_netlist.v,design_compiler,top1,3,16,,TROJANED,721,92,30917
top1_trojan3_17_netlist.v,design_compiler,top1,3,17,,TROJANED,756,112,32637
top1_trojan3_18_netlist.v,design_compiler,top1,3,18,,TROJANED,784,122,33861
top1_trojan3_19_netlist.v,design_compiler,top1,3,19,,TROJANED,812,132,35087
top1_trojan3_1_netlist.v,design_compiler,top1,3,1,,TROJANED,807,172,34367
top1_trojan3_20_netlist.v,design_compiler,top1,3,20,,TROJANED,840,142,36311
top1_trojan3_21_netlist.v,design_compiler,top1,3,21,,TROJANED,706,103,30567
top1_trojan3_22_netlist.v,design_compiler,top1,3,22,,TROJANED,878,180,38219
top1_trojan3_23_netlist.v,design_compiler,top1,3,23,,TROJANED,738,135,32215
top1_trojan3_24_netlist.v,design_compiler,top1,3,24,,TROJANED,910,212,39867
top1_trojan3_2_netlist.v,design_compiler,top1,3,2,,TROJANED,749,114,32146
top1_trojan3_3_netlist.v,design_compiler,top1,3,3,,TROJANED,725,90,30994
top1_trojan3_4_netlist.v,design_compiler,top1,3,4,,TROJANED,732,97,31354
top1_trojan3_5_netlist.v,design_compiler,top1,3,5,,TROJANED,744,109,31986
top1_trojan3_6_netlist.v,design_compiler,top1,3,6,,TROJANED,759,124,32710
top1_trojan3_7_netlist.v,design_compiler,top1,3,7,,TROJANED,767,132,33122
top1_trojan3_8_netlist.v,design_compiler,top1,3,8,,TROJANED,775,140,33534
top1_trojan3_9_netlist.v,design_compiler,top1,3,9,,TROJANED,783,148,33946
top1_trojan4_0_netlist.v,design_compiler,top1,4,0,,TROJANED,1157,150,51750
top1_trojan4_10_netlist.v,design_compiler,top1,4,10,,TROJANED,1174,167,53067
top1_trojan4_11_netlist.v,design_compiler,top1,4,11,,TROJANED,963,52,41703
top1_trojan4_12_netlist.v,design_compiler,top1,4,12,,TROJANED,987,60,42959
top1_trojan4_13_netlist.v,design_compiler,top1,4,13,,TROJANED,1027,84,44952
top1_trojan4_14_netlist.v,design_compiler,top1,4,14,,TROJANED,1051,92,46232
top1_trojan4_15_netlist.v,design_compiler,top1,4,15,,TROJANED,1091,116,48238
top1_trojan4_16_netlist.v,design_compiler,top1,4,16,,TROJANED,1115,124,49518
top1_trojan4_17_netlist.v,design_compiler,top1,4,17,,TROJANED,1165,158,52438
top1_trojan4_18_netlist.v,design_compiler,top1,4,18,,TROJANED,1190,183,53885
top1_trojan4_19_netlist.v,design_compiler,top1,4,19,,TROJANED,1198,191,54573
top1_trojan4_1_netlist.v,design_compiler,top1,4,1,,TROJANED,1157,150,51750
top1_trojan4_20_netlist.v,design_compiler,top1,4,20,,TROJANED,1223,216,56020
top1_trojan4_21_netlist.v,design_compiler,top1,4,21,,TROJANED,1232,225,56755
top1_trojan4_22_netlist.v,design_compiler,top1,4,22,,TROJANED,1263,256,58436
top1_trojan4_23_netlist.v,design_compiler,top1,4,23,,TROJANED,1273,266,59216
top1_trojan4_24_netlist.v,design_compiler,top1,4,24,,TROJANED,1299,292,60722
top1_trojan4_2_netlist.v,design_compiler,top1,4,2,,TROJANED,1157,150,51750
top1_trojan4_3_netlist.v,design_compiler,top1,4,3,,TROJANED,1159,152,51916
top1_trojan4_4_netlist.v,design_compiler,top1,4,4,,TROJANED,1161,154,52082
top1_trojan4_5_netlist.v,design_compiler,top1,4,5,,TROJANED,1163,156,52248
top1_trojan4_6_netlist.v,design_compiler,top1,4,6,,TROJANED,1165,158,52414
top1_trojan4_7_netlist.v,design_compiler,top1,4,7,,TROJANED,1167,160,52580
top1_trojan4_8_netlist.v,design_compiler,top1,4,8,,TROJANED,1170,163,52771
top1_trojan4_9_netlist.v,design_compiler,top1,4,9,,TROJANED,1172,165,52929
top1_trojan5_0_netlist.v,design_compiler,top1,5,0,,TROJANED,1123,41,62352
top1_trojan5_10_netlist.v,design_compiler,top1,5,10,,TROJANED,1117,41,62081
top1_trojan5_11_netlist.v,design_compiler,top1,5,11,,TROJANED,1117,41,62081
top1_trojan5_12_netlist.v,design_compiler,top1,5,12,,TROJANED,1117,41,62081
top1_trojan5_13_netlist.v,design_compiler,top1,5,13,,TROJANED,1087,17,60944
top1_trojan5_14_netlist.v,design_compiler,top1,5,14,,TROJANED,1101,27,61540
top1_trojan5_15_netlist.v,design_compiler,top1,5,15,,TROJANED,1103,25,61615
top1_trojan5_16_netlist.v,design_compiler,top1,5,16,,TROJANED,1113,30,62078
top1_trojan5_17_netlist.v,design_compiler,top1,5,17,,TROJANED,1113,30,62100
top1_trojan5_18_netlist.v,design_compiler,top1,5,18,,TROJANED,1113,30,62122
top1_trojan5_19_netlist.v,design_compiler,top1,5,19,,TROJANED,1113,30,62144
top1_trojan5_1_netlist.v,design_compiler,top1,5,1,,TROJANED,1124,42,62398
top1_trojan5_20_netlist.v,design_compiler,top1,5,20,,TROJANED,1113,30,62166
top1_trojan5_21_netlist.v,design_compiler,top1,5,21,,TROJANED,1122,40,62300
top1_trojan5_22_netlist.v,design_compiler,top1,5,22,,TROJANED,1125,43,62431
top1_trojan5_23_netlist.v,design_compiler,top1,5,23,,TROJANED,1082,43,60243
top1_trojan5_24_netlist.v,design_compiler,top1,5,24,,TROJANED,1120,43,62213
top1_trojan5_2_netlist.v,design_compiler,top1,5,2,,TROJANED,1123,41,62351
top1_trojan5_3_netlist.v,design_compiler,top1,5,3,,TROJANED,1152,70,63726
top1_trojan5_4_netlist.v,design_compiler,top1,5,4,,TROJANED,1130,48,62637
top1_trojan5_5_netlist.v,design_compiler,top1,5,5,,TROJANED,996,41,56019
top1_trojan5_6_netlist.v,design_compiler,top1,5,6,,TROJANED,1040,41,58187
top1_trojan5_7_netlist.v,design_compiler,top1,5,7,,TROJANED,1079,41,60118
top1_trojan5_8_netlist.v,design_compiler,top1,5,8,,TROJANED,1117,41,62089
top1_trojan5_9_netlist.v,design_compiler,top1,5,9,,TROJANED,1117,41,62081
top1_trojan6_0_netlist.v,design_compiler,top1,6,0,,TROJANED,1465,34,61278
top1_trojan6_10_netlist.v,design_compiler,top1,6,10,,TROJANED,1481,49,61984
top1_trojan6_11_netlist.v,design_compiler,top1,6,11,,TROJANED,1485,53,62165
top1_trojan6_12_netlist.v,design_compiler,top1,6,12,,TROJANED,1489,57,62345
top1_trojan6_13_netlist.v,design_compiler,top1,6,13,,TROJANED,1494,62,62562
top1_trojan6_14_netlist.v,design_compiler,top1,6,14,,TROJANED,1497,65,62702
top1_trojan6_15_netlist.v,design_compiler,top1,6,15,,TROJANED,1408,34,58736
top1_trojan6_16_netlist.v,design_compiler,top1,6,16,,TROJANED,1435,34,59943
top1_trojan6_17_netlist.v,design_compiler,top1,6,17,,TROJANED,1467,34,61361
top1_trojan6_18_netlist.v,design_compiler,top1,6,18,,TROJANED,1467,34,61361
top1_trojan6_19_netlist.v,design_compiler,top1,6,19,,TROJANED,1467,34,61361
top1_trojan6_1_netlist.v,design_compiler,top1,6,1,,TROJANED,1465,34,61278
top1_trojan6_20_netlist.v,design_compiler,top1,6,20,,TROJANED,1467,34,61361
top1_trojan6_21_netlist.v,design_compiler,top1,6,21,,TROJANED,1493,62,62646
top1_trojan6_22_netlist.v,design_compiler,top1,6,22,,TROJANED,1464,33,61240
top1_trojan6_23_netlist.v,design_compiler,top1,6,23,,TROJANED,1465,34,61278
top1_trojan6_24_netlist.v,design_compiler,top1,6,24,,TROJANED,1466,35,61319
top1_trojan6_2_netlist.v,design_compiler,top1,6,2,,TROJANED,1464,33,61240
top1_trojan6_3_netlist.v,design_compiler,top1,6,3,,TROJANED,1390,17,57819
top1_trojan6_4_netlist.v,design_compiler,top1,6,4,,TROJANED,1411,22,58776
top1_trojan6_5_netlist.v,design_compiler,top1,6,5,,TROJANED,1426,25,59476
top1_trojan6_6_netlist.v,design_compiler,top1,6,6,,TROJANED,1445,29,60358
top1_trojan6_7_netlist.v,design_compiler,top1,6,7,,TROJANED,1469,37,61458
top1_trojan6_8_netlist.v,design_compiler,top1,6,8,,TROJANED,1473,41,61634
top1_trojan6_9_netlist.v,design_compiler,top1,6,9,,TROJANED,1477,45,61810
top1_trojan7_0_netlist.v,design_compiler,top1,7,0,,TROJANED,840,67,32690
top1_trojan7_10_netlist.v,design_compiler,top1,7,10,,TROJANED,858,99,33540
top1_trojan7_11_netlist.v,design_compiler,top1,7,11,,TROJANED,867,108,33914
top1_trojan7_12_netlist.v,design_compiler,top1,7,12,,TROJANED,874,115,34220
top1_trojan7_13_netlist.v,design_compiler,top1,7,13,,TROJANED,883,124,34594
top1_trojan7_14_netlist.v,design_compiler,top1,7,14,,TROJANED,890,131,34899
top1_trojan7_15_netlist.v,design_compiler,top1,7,15,,TROJANED,840,67,32690
top1_trojan7_16_netlist.v,design_compiler,top1,7,16,,TROJANED,840,67,32690
top1_trojan7_17_netlist.v,design_compiler,top1,7,17,,TROJANED,840,67,32690
top1_trojan7_18_netlist.v,design_compiler,top1,7,18,,TROJANED,840,67,32690
top1_trojan7_19_netlist.v,design_compiler,top1,7,19,,TROJANED,840,67,32690
top1_trojan7_1_netlist.v,design_compiler,top1,7,1,,TROJANED,840,67,32690
top1_trojan7_20_netlist.v,design_compiler,top1,7,20,,TROJANED,840,67,32690
top1_trojan7_21_netlist.v,design_compiler,top1,7,21,,TROJANED,838,65,32618
top1_trojan7_22_netlist.v,design_compiler,top1,7,22,,TROJANED,839,66,32654
top1_trojan7_23_netlist.v,design_compiler,top1,7,23,,TROJANED,841,68,32738
top1_trojan7_24_netlist.v,design_compiler,top1,7,24,,TROJANED,842,69,32786
top1_trojan7_2_netlist.v,design_compiler,top1,7,2,,TROJANED,838,65,32614
top1_trojan7_3_netlist.v,design_compiler,top1,7,3,,TROJANED,809,36,31380
top1_trojan7_4_netlist.v,design_compiler,top1,7,4,,TROJANED,816,43,31678
top1_trojan7_5_netlist.v,design_compiler,top1,7,5,,TROJANED,824,51,32011
top1_trojan7_6_netlist.v,design_compiler,top1,7,6,,TROJANED,833,60,32385
top1_trojan7_7_netlist.v,design_compiler,top1,7,7,,TROJANED,846,75,32950
top1_trojan7_8_netlist.v,design_compiler,top1,7,8,,TROJANED,851,84,33180
top1_trojan7_9_netlist.v,design_compiler,top1,7,9,,TROJANED,855,92,33377
top1_trojan8_0_netlist.v,design_compiler,top1,8,0,,TROJANED,6276,5424,280266
top1_trojan8_10_netlist.v,design_compiler,top1,8,10,,TROJANED,338,134,13721
top1_trojan8_11_netlist.v,design_compiler,top1,8,11,,TROJANED,215,13,8787
top1_trojan8_12_netlist.v,design_compiler,top1,8,12,,TROJANED,259,56,10599
top1_trojan8_13_netlist.v,design_compiler,top1,8,13,,TROJANED,334,141,13568
top1_trojan8_14_netlist.v,design_compiler,top1,8,14,,TROJANED,405,197,16631
top1_trojan8_15_netlist.v,design_compiler,top1,8,15,,TROJANED,181,19,7460
top1_trojan8_16_netlist.v,design_compiler,top1,8,16,,TROJANED,6205,5353,277183
top1_trojan8_17_netlist.v,design_compiler,top1,8,17,,TROJANED,6256,5404,279402
top1_trojan8_18_netlist.v,design_compiler,top1,8,18,,TROJANED,349,52,14198
top1_trojan8_19_netlist.v,design_compiler,top1,8,19,,TROJANED,914,500,37676
top1_trojan8_1_netlist.v,design_compiler,top1,8,1,,TROJANED,159,15,6591
top1_trojan8_20_netlist.v,design_compiler,top1,8,20,,TROJANED,1449,620,60718
top1_trojan8_21_netlist.v,design_compiler,top1,8,21,,TROJANED,1457,1108,61509
top1_trojan8_22_netlist.v,design_compiler,top1,8,22,,TROJANED,2381,1967,103943
top1_trojan8_23_netlist.v,design_compiler,top1,8,23,,TROJANED,4842,4010,214181
top1_trojan8_24_netlist.v,design_compiler,top1,8,24,,TROJANED,4763,3934,210917
top1_trojan8_2_netlist.v,design_compiler,top1,8,2,,TROJANED,167,16,6922
top1_trojan8_3_netlist.v,design_compiler,top1,8,3,,TROJANED,215,13,8787
top1_trojan8_4_netlist.v,design_compiler,top1,8,4,,TROJANED,215,13,8787
top1_trojan8_5_netlist.v,design_compiler,top1,8,5,,TROJANED,259,56,10599
top1_trojan8_6_netlist.v,design_compiler,top1,8,6,,TROJANED,255,63,10445
top1_trojan8_7_netlist.v,design_compiler,top1,8,7,,TROJANED,324,141,13201
top1_trojan8_8_netlist.v,design_compiler,top1,8,8,,TROJANED,398,194,16176
top1_trojan8_9_netlist.v,design_compiler,top1,8,9,,TROJANED,402,194,16390
top1_trojan9_0_netlist.v,design_compiler,top1,9,0,,TROJANED,2397,2133,103858
top1_trojan9_10_netlist.v,design_compiler,top1,9,10,,TROJANED,809,642,33144
top1_trojan9_11_netlist.v,design_compiler,top1,9,11,,TROJANED,845,631,34803
top1_trojan9_12_netlist.v,design_compiler,top1,9,12,,TROJANED,881,667,36160
top1_trojan9_13_netlist.v,design_compiler,top1,9,13,,TROJANED,1576,1349,66534
top1_trojan9_14_netlist.v,design_compiler,top1,9,14,,TROJANED,1091,864,44702
top1_trojan9_15_netlist.v,design_compiler,top1,9,15,,TROJANED,1148,965,47955
top1_trojan9_16_netlist.v,design_compiler,top1,9,16,,TROJANED,1963,1742,84295
top1_trojan9_17_netlist.v,design_compiler,top1,9,17,,TROJANED,2438,2174,105758
top1_trojan9_18_netlist.v,design_compiler,top1,9,18,,TROJANED,3816,3546,166906
top1_trojan9_19_netlist.v,design_compiler,top1,9,19,,TROJANED,4333,4063,189667
top1_trojan9_1_netlist.v,design_compiler,top1,9,1,,TROJANED,925,661,37121
top1_trojan9_20_netlist.v,design_compiler,top1,9,20,,TROJANED,637,518,26645
top1_trojan9_21_netlist.v,design_compiler,top1,9,21,,TROJANED,8801,8531,389835
top1_trojan9_22_netlist.v,design_compiler,top1,9,22,,TROJANED,2397,2133,103946
top1_trojan9_23_netlist.v,design_compiler,top1,9,23,,TROJANED,2390,2126,103625
top1_trojan9_24_netlist.v,design_compiler,top1,9,24,,TROJANED,2407,2143,104372
top1_trojan9_2_netlist.v,design_compiler,top1,9,2,,TROJANED,1238,974,51380
top1_trojan9_3_netlist.v,design_compiler,top1,9,3,,TROJANED,515,272,20923
top1_trojan9_4_netlist.v,design_compiler,top1,9,4,,TROJANED,2282,2018,98431
top1_trojan9_5_netlist.v,design_compiler,top1,9,5,,TROJANED,1971,1722,84497
top1_trojan9_6_netlist.v,design_compiler,top1,9,6,,TROJANED,2063,1816,88796
top1_trojan9_7_netlist.v,design_compiler,top1,9,7,,TROJANED,1942,1698,83275
top1_trojan9_8_netlist.v,design_compiler,top1,9,8,,TROJANED,2008,1761,86105
top1_trojan9_9_netlist.v,design_compiler,top1,9,9,,TROJANED,2171,1966,93810
top2_trojan0_0_netlist.v,design_compiler,top2,0,0,,TROJANED,529,121,28706
top2_trojan0_10_netlist.v,design_compiler,top2,0,10,,TROJANED,553,145,30191
top2_trojan0_11_netlist.v,design_compiler,top2,0,11,,TROJANED,475,67,24595
top2_trojan0_12_netlist.v,design_compiler,top2,0,12,,TROJANED,493,85,25965
top2_trojan0_13_netlist.v,design_compiler,top2,0,13,,TROJANED,511,103,27335
top2_trojan0_14_netlist.v,design_compiler,top2,0,14,,TROJANED,547,139,30076
top2_trojan0_15_netlist.v,design_compiler,top2,0,15,,TROJANED,565,157,31449
top2_trojan0_16_netlist.v,design_compiler,top2,0,16,,TROJANED,583,175,32846
top2_trojan0_17_netlist.v,design_compiler,top2,0,17,,TROJANED,601,193,34252
top2_trojan0_18_netlist.v,design_compiler,top2,0,18,,TROJANED,466,58,23894
top2_trojan0_19_netlist.v,design_compiler,top2,0,19,,TROJANED,484,76,25280
top2_trojan0_1_netlist.v,design_compiler,top2,0,1,,TROJANED,529,121,28706
top2_trojan0_20_netlist.v,design_compiler,top2,0,20,,TROJANED,502,94,26650
top2_trojan0_21_netlist.v,design_compiler,top2,0,21,,TROJANED,520,112,28020
top2_trojan0_22_netlist.v,design_compiler,top2,0,22,,TROJANED,538,130,29391
top2_trojan0_23_netlist.v,design_compiler,top2,0,23,,TROJANED,556,148,30762
top2_trojan0_24_netlist.v,design_compiler,top2,0,24,,TROJANED,574,166,32144
top2_trojan0_2_netlist.v,design_compiler,top2,0,2,,TROJANED,592,184,33548
top2_trojan0_3_netlist.v,design_compiler,top2,0,3,,TROJANED,521,113,28206
top2_trojan0_4_netlist.v,design_compiler,top2,0,4,,TROJANED,525,117,28453
top2_trojan0_5_netlist.v,design_compiler,top2,0,5,,TROJANED,528,120,28743
top2_trojan0_6_netlist.v,design_compiler,top2,0,6,,TROJANED,537,129,29200
top2_trojan0_7_netlist.v,design_compiler,top2,0,7,,TROJANED,541,133,29447
top2_trojan0_8_netlist.v,design_compiler,top2,0,8,,TROJANED,545,137,29697
top2_trojan0_9_netlist.v,design_compiler,top2,0,9,,TROJANED,544,136,29737
top2_trojan1_0_netlist.v,design_compiler,top2,1,0,,TROJANED,427,17,17473
top2_trojan1_10_netlist.v,design_compiler,top2,1,10,,TROJANED,508,98,21082
top2_trojan1_11_netlist.v,design_compiler,top2,1,11,,TROJANED,515,105,21402
top2_trojan1_12_netlist.v,design_compiler,top2,1,12,,TROJANED,522,112,21722
top2_trojan1_13_netlist.v,design_compiler,top2,1,13,,TROJANED,426,16,17426
top2_trojan1_14_netlist.v,design_compiler,top2,1,14,,TROJANED,428,17,17559
top2_trojan1_15_netlist.v,design_compiler,top2,1,15,,TROJANED,427,16,17525
top2_trojan1_16_netlist.v,design_compiler,top2,1,16,,TROJANED,428,17,17559
top2_trojan1_17_netlist.v,design_compiler,top2,1,17,,TROJANED,427,16,17525
top2_trojan1_18_netlist.v,design_compiler,top2,1,18,,TROJANED,429,17,17635
top2_trojan1_19_netlist.v,design_compiler,top2,1,19,,TROJANED,429,17,17634
top2_trojan1_1_netlist.v,design_compiler,top2,1,1,,TROJANED,435,25,17801
top2_trojan1_20_netlist.v,design_compiler,top2,1,20,,TROJANED,429,17,17635
top2_trojan1_21_netlist.v,design_compiler,top2,1,21,,TROJANED,431,18,17745
top2_trojan1_22_netlist.v,design_compiler,top2,1,22,,TROJANED,432,19,17779
top2_trojan1_23_netlist.v,design_compiler,top2,1,23,,TROJANED,431,18,17745
top2_trojan1_24_netlist.v,design_compiler,top2,1,24,,TROJANED,440,30,17991
top2_trojan1_2_netlist.v,design_compiler,top2,1,2,,TROJANED,453,43,18593
top2_trojan1_3_netlist.v,design_compiler,top2,1,3,,TROJANED,460,50,18914
top2_trojan1_4_netlist.v,design_compiler,top2,1,4,,TROJANED,467,57,19235
top2_trojan1_5_netlist.v,design_compiler,top2,1,5,,TROJANED,474,64,19556
top2_trojan1_6_netlist.v,design_compiler,top2,1,6,,TROJANED,481,71,19877
top2_trojan1_7_netlist.v,design_compiler,top2,1,7,,TROJANED,486,76,20118
top2_trojan1_8_netlist.v,design_compiler,top2,1,8,,TROJANED,494,84,20442
top2_trojan1_9_netlist.v,design_compiler,top2,1,9,,TROJANED,501,91,20762
top2_trojan2_0_netlist.v,design_compiler,top2,2,0,,TROJANED,1288,25,54384
top2_trojan2_10_netlist.v,design_compiler,top2,2,10,,TROJANED,1344,67,57867
top2_trojan2_11_netlist.v,design_compiler,top2,2,11,,TROJANED,1352,73,58367
top2_trojan2_12_netlist.v,design_compiler,top2,2,12,,TROJANED,1284,21,54174
top2_trojan2_13_netlist.v,design_compiler,top2,2,13,,TROJANED,1287,24,54317
top2_trojan2_14_netlist.v,design_compiler,top2,2,14,,TROJANED,1292,29,54624
top2_trojan2_15_netlist.v,design_compiler,top2,2,15,,TROJANED,1296,33,54871
top2_trojan2_16_netlist.v,design_compiler,top2,2,16,,TROJANED,1300,37,55115
top2_trojan2_17_netlist.v,design_compiler,top2,2,17,,TROJANED,1304,41,55361
top2_trojan2_18_netlist.v,design_compiler,top2,2,18,,TROJANED,1309,46,55646
top2_trojan2_19_netlist.v,design_compiler,top2,2,19,,TROJANED,1312,49,55855
top2_trojan2_1_netlist.v,design_compiler,top2,2,1,,TROJANED,1288,25,54384
top2_trojan2_20_netlist.v,design_compiler,top2,2,20,,TROJANED,1317,54,56140
top2_trojan2_21_netlist.v,design_compiler,top2,2,21,,TROJANED,1320,57,56349
top2_trojan2_22_netlist.v,design_compiler,top2,2,22,,TROJANED,1320,49,56368
top2_trojan2_23_netlist.v,design_compiler,top2,2,23,,TROJANED,1352,73,58367
top2_trojan2_24_netlist.v,design_compiler,top2,2,24,,TROJANED,1276,13,53691
top2_trojan2_2_netlist.v,design_compiler,top2,2,2,,TROJANED,1276,13,53691
top2_trojan2_3_netlist.v,design_compiler,top2,2,3,,TROJANED,1282,19,54036
